window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
60.0,330.0,70,-3.26289646057146,90.0,90.0,5.15235166269436,45.0,60.0,h5p0_l8p8_w8p0_feed3p00,8
65.0,335.0,60,-3.26289646057146,90.0,90.0,4.91806539120231,45.0,65.0,h5p0_l8p8_w8p0_feed3p00,8
70.0,340.0,50,-3.26289646057146,90.0,90.0,4.65871542302065,45.0,70.0,h5p0_l8p8_w8p0_feed3p00,8
75.0,345.0,40,-3.26289646057146,90.0,90.0,4.37401800194035,45.0,75.0,h5p0_l8p8_w8p0_feed3p00,8
80.0,350.0,30,-3.26289646057146,90.0,90.0,4.06323112659411,45.0,80.0,h5p0_l8p8_w8p0_feed3p00,8
85.0,355.0,20,-3.26289646057146,90.0,90.0,3.72566010987576,45.0,85.0,h5p0_l8p8_w8p0_feed3p00,8
90.0,0.0,20,-3.26289646057146,90.0,90.0,6.2063978411075,45.0,0.0,h5p0_l8p8_w8p0_feed3p00,8
0.0,270.0,190,-2.93493163772527,90.0,90.0,6.37196367047761,45.0,0.0,h5p0_l8p8_w8p0_feed3p80,9
5.0,275.0,180,-2.93493163772527,90.0,90.0,6.36351057065343,45.0,5.0,h5p0_l8p8_w8p0_feed3p80,9
10.0,280.0,170,-2.93493163772527,90.0,90.0,6.34403333692816,45.0,10.0,h5p0_l8p8_w8p0_feed3p80,9
15.0,285.0,160,-2.93493163772527,90.0,90.0,6.31417219817903,45.0,15.0,h5p0_l8p8_w8p0_feed3p80,9
20.0,290.0,150,-2.93493163772527,90.0,90.0,6.27502504592082,45.0,20.0,h5p0_l8p8_w8p0_feed3p80,9
25.0,295.0,140,-2.93493163772527,90.0,90.0,6.22705044068654,45.0,25.0,h5p0_l8p8_w8p0_feed3p80,9
30.0,300.0,130,-2.93493163772527,90.0,90.0,6.16889496966804,45.0,30.0,h5p0_l8p8_w8p0_feed3p80,9
35.0,305.0,120,-2.93493163772527,90.0,90.0,6.09672906130328,45.0,35.0,h5p0_l8p8_w8p0_feed3p80,9
40.0,310.0,110,-2.93493163772527,90.0,90.0,6.00447278895953,45.0,40.0,h5p0_l8p8_w8p0_feed3p80,9
45.0,315.0,100,-2.93493163772527,90.0,90.0,5.88490525382393,45.0,45.0,h5p0_l8p8_w8p0_feed3p80,9
50.0,320.0,90,-2.93493163772527,90.0,90.0,5.73127797595594,45.0,50.0,h5p0_l8p8_w8p0_feed3p80,9
55.0,325.0,80,-2.93493163772527,90.0,90.0,5.53887301190935,45.0,55.0,h5p0_l8p8_w8p0_feed3p80,9
