freq_ghz,phi_deg,baseline,linear_pol_deg,theta_deg,reference_pol_deg,raw_pdoa_deg,reference_pdoa_deg,pdoa_bias_vs_pol0_deg,pdoa_lut_correction_deg,corrected_pdoa_deg,corrected_bias_vs_pol0_deg,source_strategy,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,E1-E2,45.000000,240.000000,0.000000,41.020255,35.299528,5.720727,5.720727,35.299528,-0.000000,calibrated_2x2_vector_correlation,-2.774448,-3.973252,True
7.738000,45.000000,E1-E2,45.000000,245.000000,0.000000,42.975397,34.474437,8.500960,8.500960,34.474437,0.000000,calibrated_2x2_vector_correlation,-2.380503,-3.674870,True
7.738000,45.000000,E1-E2,45.000000,250.000000,0.000000,45.174691,33.632258,11.542433,11.542433,33.632258,-0.000000,calibrated_2x2_vector_correlation,-1.854780,-3.304468,True
7.738000,45.000000,E1-E2,45.000000,255.000000,0.000000,47.421363,32.804812,14.616551,14.616551,32.804812,-0.000000,calibrated_2x2_vector_correlation,-1.191242,-2.839733,True
7.738000,45.000000,E1-E2,45.000000,260.000000,0.000000,49.271529,32.008366,17.263163,17.263163,32.008366,0.000000,calibrated_2x2_vector_correlation,-0.479276,-2.266903,True
7.738000,45.000000,E1-E2,45.000000,265.000000,0.000000,49.986865,31.245325,18.741540,18.741540,31.245325,0.000000,calibrated_2x2_vector_correlation,0.000000,-1.617735,True
7.738000,45.000000,E1-E2,45.000000,270.000000,0.000000,48.697206,30.508545,18.188661,18.188661,30.508545,0.000000,calibrated_2x2_vector_correlation,-0.099134,-1.042241,True
7.738000,45.000000,E1-E2,45.000000,275.000000,0.000000,44.939920,29.788804,15.151116,15.151116,29.788804,0.000000,calibrated_2x2_vector_correlation,-0.742372,-0.830242,True
7.738000,45.000000,E1-E2,45.000000,280.000000,0.000000,39.323753,29.085865,10.237888,10.237888,29.085865,0.000000,calibrated_2x2_vector_correlation,-1.552057,-1.165484,True
7.738000,45.000000,E1-E2,45.000000,285.000000,0.000000,33.403736,28.421770,4.981966,4.981966,28.421770,0.000000,calibrated_2x2_vector_correlation,-2.258618,-1.859448,True
7.738000,45.000000,E1-E2,45.000000,290.000000,0.000000,28.573614,27.851237,0.722377,0.722377,27.851237,0.000000,calibrated_2x2_vector_correlation,-2.792924,-2.591691,True
7.738000,45.000000,E1-E2,45.000000,295.000000,0.000000,25.349090,27.460108,-2.111018,-2.111018,27.460108,0.000000,calibrated_2x2_vector_correlation,-3.176356,-3.195316,True
7.738000,45.000000,E1-E2,45.000000,300.000000,0.000000,23.597845,27.344181,-3.746336,-3.746336,27.344181,0.000000,calibrated_2x2_vector_correlation,-3.448773,-3.644209,True
7.738000,45.000000,E1-E2,45.000000,305.000000,0.000000,22.975068,27.572521,-4.597453,-4.597453,27.572521,0.000000,calibrated_2x2_vector_correlation,-3.645031,-3.965248,True
7.738000,45.000000,E1-E2,45.000000,310.000000,0.000000,23.143532,28.154901,-5.011369,-5.011369,28.154901,0.000000,calibrated_2x2_vector_correlation,-3.791053,-4.192516,True
7.738000,45.000000,E1-E2,45.000000,315.000000,0.000000,23.831462,29.034622,-5.203160,-5.203160,29.034622,0.000000,calibrated_2x2_vector_correlation,-3.905051,-4.353791,True
7.738000,45.000000,E1-E2,45.000000,320.000000,0.000000,24.834760,30.109593,-5.274833,-5.274833,30.109593,0.000000,calibrated_2x2_vector_correlation,-3.999469,-4.469194,True
7.738000,45.000000,E1-E2,45.000000,325.000000,0.000000,26.009159,31.265153,-5.255994,-5.255994,31.265153,0.000000,calibrated_2x2_vector_correlation,-4.082664,-4.552891,True
7.738000,45.000000,E1-E2,45.000000,330.000000,0.000000,27.261523,32.400390,-5.138867,-5.138867,32.400390,0.000000,calibrated_2x2_vector_correlation,-4.160236,-4.614939,True
7.738000,45.000000,E1-E2,45.000000,335.000000,0.000000,28.539065,33.441125,-4.902060,-4.902060,33.441125,0.000000,calibrated_2x2_vector_correlation,-4.235985,-4.662618,True
7.738000,45.000000,E1-E2,45.000000,340.000000,0.000000,29.815959,34.342667,-4.526708,-4.526708,34.342667,-0.000000,calibrated_2x2_vector_correlation,-4.312424,-4.701200,True
