case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E4-E1,73,73,100.000000,397.323902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E4-E1,73,73,100.000000,665.752020,97.605957,82.495129,175.665096,179.000621,49.356316,74.386383,163.856338,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E4-E1,72,73,98.630137,355.843129,125.336657,118.682500,171.940382,178.323340,74.165869,146.256485,276.362087,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E4-E1,73,73,100.000000,479.245732,84.926636,65.851295,168.866446,175.193398,33.885898,62.063395,69.052636,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,0.000000,E1-E3,73,73,100.000000,236.814217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,45.000000,E1-E3,73,73,100.000000,283.508558,65.673845,60.685719,96.574260,99.654653,55.967460,108.933524,156.992209,60
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,90.000000,E1-E3,73,73,100.000000,528.994639,137.231381,131.586565,175.781783,177.783282,120.782612,236.834061,290.207601,60
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,135.000000,E1-E3,73,73,100.000000,402.314658,74.587131,68.993638,115.077108,119.257156,60.869333,118.741546,147.226782,60
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,0.000000,E2-E4,73,73,100.000000,445.057757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,45.000000,E2-E4,73,73,100.000000,471.733851,52.807027,43.611791,100.733821,103.912198,21.401854,37.379803,50.462380,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,90.000000,E2-E4,72,73,98.630137,725.710516,122.741658,116.094117,173.209394,179.321726,55.777401,101.477837,177.472687,69
